tipo_registro,arquivo_origem,aba_origem,titulo_tabela,variavel,nivel,codigo_municipio,municipio,ano,produto,unidade_cabecalho,valor_original,valor_numerico,linha_origem,coluna_origem,ano_cabecalho_original
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Feijão (em grão),,...,,4185,28,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Girassol (em grão),,...,,4185,29,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Milho (em grão),,...,,4185,30,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Soja (em grão),,...,,4185,31,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Tomate,,...,,4185,32,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1986,Trigo (em grão),,...,,4185,33,1986
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1987,Aveia (em grão),,...,,4185,34,1987
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1987,Batata-inglesa,,...,,4185,35,1987
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1987,Cebola,,...,,4185,36,1987
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1987,Cevada (em grão),,...,,4185,37,1987
produtividade,tabela1984ate1989.xlsx,Área plantada (Hectares),"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Área plantada (Hectares),MU,4119905,Ponta Grossa (PR),1987,Feijão (em grão),,...,,4185,38,1987
